trunc_area,435.4,331.17,2,2.10E-09,,,add8,9,42,359.9,add8u
trunc_area,435.4,322.13,4,5.24E-08,,,add32,33,184.6,1843.3,rca32
trunc_area,435.4,316.01,6,9.24E-07,,,mult8,16,435.4,1255.2,am8
trunc_area,435.4,313.88,8,1.51E-05,,,mult16,32,1418.8,1981.5,
trunc_area,435.4,313.08,10,2.44E-04,,,mult32,64,5723.3,1873.5,
trunc_delay,1255.2,1015.55,2,2.10E-09,,,,,,,
trunc_delay,1255.2,1015.55,4,5.24E-08,,,,,,,
trunc_delay,1255.2,1015.55,6,9.24E-07,,,,,,,
trunc_delay,1255.2,1048.6,8,1.51E-05,,,mult8,2,331.17,1015.55,
trunc_delay,1255.2,1057.45,10,2.44E-04,,,mult8,4,322.13,1015.55,
MECALS_area,435.4,328.51,2,2.10E-09,,,mult8,6,316.01,1015.55,
MECALS_area,435.4,313.35,4,5.24E-08,,,mult8,8,313.88,1048.6,
MECALS_area,435.4,295.53,6,9.24E-07,,,,,314.68,1063.48,
MECALS_area,435.4,262.54,8,1.51E-05,,,,,,,
MECALS_area,435.4,201.1,10,2.44E-04,,,,,,,
MECALS_delay,1255.2,1027.09,2,2.10E-09,,,,,,,
MECALS_delay,1255.2,997.82,4,5.24E-08,,,,,,,
MECALS_delay,1255.2,1013.21,6,9.24E-07,,,,,1,1,
MECALS_delay,1255.2,1000.27,8,1.51E-05,,,,,2,9,
MECALS_delay,1255.2,983.07,10,2.44E-04,,,,,3,49,
,,,,,,,,,4,225,
,,,,,,,,,5,961,
,,,,,,,,,6,3969,
,,,,,,,,,7,16129,
,,,,,,,,,8,65025,
,,,,,,,,,9,261121,
,,,,,,,,,10,1046529,
,,,,,,,,,11,4190209,
,,,,,,,,,12,16769025,
,,,,,,,,,13,67092481,
,,,,,,,,,14,268402689,
,,,,,,,,,15,1073676289,
,,,,,,,,,16,4294836225,
,,,,,,,,,17,17179607041,
